Date,Open,High,Low,Close,Volume
17-02-2009,2.90832,2.9093,2.82749,2.83505,786454813
18-02-2009,2.85343,2.87452,2.78043,2.83015,811833032
19-02-2009,2.79892,2.82651,2.70246,2.71798,1073737369
20-02-2009,2.6842,2.7712,2.66945,2.73527,892928077
23-02-2009,2.74765,2.75913,2.59501,2.60748,895896061
24-02-2009,2.61701,2.72633,2.60907,2.70639,900177427
25-02-2009,2.695,2.78683,2.67722,2.73399,973394455
26-02-2009,2.76238,2.78683,2.66798,2.67497,734924762
27-02-2009,2.63971,2.73781,2.62918,2.67888,837840166
02-03-2009,2.63951,2.73527,2.62918,2.63803,909033977
03-03-2009,2.67241,2.72142,2.63607,2.64953,858396430
04-03-2009,2.70364,2.7822,2.68301,2.73449,882236472
05-03-2009,2.70639,2.75551,2.65207,2.66436,839725406
06-03-2009,2.64824,2.65081,2.46902,2.55839,1202725186
09-03-2009,2.52059,2.62723,2.47688,2.49258,831570466
10-03-2009,2.54219,2.67478,2.53013,2.65768,1005441939
11-03-2009,2.69629,2.82112,2.68696,2.77926,1007911170
12-03-2009,2.78625,2.89702,2.75913,2.89035,915116368
13-03-2009,2.88898,2.9142,2.84959,2.87728,715927640
16-03-2009,2.89555,2.92029,2.82424,2.86156,949431858
17-03-2009,2.85568,2.98983,2.85126,2.98885,937696083
18-03-2009,2.99574,3.10307,2.99081,3.04395,947961000
19-03-2009,3.05791,3.09423,3.00693,3.0474,595629412
20-03-2009,3.06349,3.09208,3.01656,3.04642,828381773
23-03-2009,3.07949,3.24364,3.0515,3.22949,793565951
24-03-2009,3.18263,3.28251,3.16104,3.19412,763006556
25-03-2009,3.22448,3.24952,3.11506,3.19392,770026672
26-03-2009,3.23705,3.29823,3.22692,3.29519,733561195
27-03-2009,3.25441,3.2548,3.19117,3.20403,586929834
30-03-2009,3.12224,3.14954,3.07735,3.1335,598511645
31-03-2009,3.16465,3.22299,3.14904,3.15268,678137854
01-04-2009,3.12076,3.26924,3.11576,3.25946,700734447
02-04-2009,3.30018,3.4418,3.29273,3.38054,964671646
03-04-2009,3.4161,3.48306,3.40469,3.47875,754036544
06-04-2009,3.4476,3.56173,3.39753,3.55241,781953494
07-04-2009,3.49182,3.49918,3.42443,3.44898,637775404
08-04-2009,3.45585,3.50241,3.43662,3.48878,541842377
09-04-2009,3.55241,3.59916,3.53768,3.58561,631106409
13-04-2009,3.59916,3.62814,3.5696,3.60573,463215579
14-04-2009,3.58482,3.60446,3.51637,3.54801,540652442
15-04-2009,3.5091,3.54651,3.47167,3.52794,491356169
16-04-2009,3.57549,3.69453,3.56302,3.64247,705190649
17-04-2009,3.6301,3.72594,3.60671,3.70249,592224865
20-04-2009,3.65209,3.68901,3.57412,3.61389,555342927
21-04-2009,3.56793,3.66231,3.55674,3.65209,558904187
22-04-2009,3.67725,3.75925,3.63531,3.64433,1098744963
23-04-2009,3.79872,3.81544,3.70423,3.76091,1123020594
24-04-2009,3.73399,3.75277,3.68862,3.71555,643254372
27-04-2009,3.6853,3.74874,3.6794,3.74088,572175566
28-04-2009,3.69953,3.78527,3.69736,3.71555,541711202
29-04-2009,3.74433,3.80481,3.71328,3.75277,545169785
30-04-2009,3.79048,3.80944,3.74648,3.7732,592916214
01-05-2009,3.7732,3.83703,3.7724,3.81639,473283824
04-05-2009,3.8443,3.96629,3.82887,3.96077,725908019
05-05-2009,3.95165,3.98443,3.93228,3.97955,473982618
06-05-2009,4.00371,4.00417,3.90538,3.97387,563749363
07-05-2009,3.96146,3.9709,3.83536,3.8711,631653130
08-05-2009,3.8718,3.93575,3.78703,3.87477,557187988
11-05-2009,3.81729,3.9269,3.81278,3.88605,481692598
12-05-2009,3.88988,3.88988,3.69706,3.73167,722920932
13-05-2009,3.69374,3.71879,3.5795,3.58297,706421843
14-05-2009,3.5916,3.70463,3.58972,3.68794,530793291
15-05-2009,3.66251,3.73766,3.64729,3.67117,436621893
18-05-2009,3.71358,3.80051,3.64592,3.79872,544680406
19-05-2009,3.80462,3.87847,3.77092,3.82239,442469148
20-05-2009,3.83164,3.87553,3.75758,3.77458,461965089
21-05-2009,3.74874,3.80266,3.68619,3.7239,485134960
22-05-2009,3.72073,3.7239,3.65169,3.67379,354836734
26-05-2009,3.74413,3.92384,3.73567,3.92228,753637889
27-05-2009,3.95165,4.04819,3.92552,3.98966,769613153
28-05-2009,4.00417,4.06095,3.9598,4.05114,578908498
29-05-2009,4.06144,4.07589,4.01441,4.07295,543083359
01-06-2009,4.08925,4.19826,4.07884,4.18009,536687735
02-06-2009,4.1684,4.23989,4.14817,4.18432,539883662
03-06-2009,4.20104,4.23272,4.17087,4.22734,669949756
04-06-2009,4.20152,4.32449,4.19984,4.3111,650822207
05-06-2009,4.36426,4.39057,4.2954,4.33852,752433167
08-06-2009,4.31594,4.32596,4.18236,4.31426,1107552777
09-06-2009,4.31327,4.33536,4.21465,4.28077,804339649
10-06-2009,4.25827,4.26856,4.14671,4.20562,819026008
11-06-2009,4.18824,4.24551,4.15446,4.19726,624156210
12-06-2009,4.16459,4.17185,4.08021,4.10801,669038257
15-06-2009,4.07804,4.10681,4.04526,4.0814,642460979
16-06-2009,4.09721,4.15182,4.08189,4.08848,608477104
17-06-2009,4.09997,4.12304,4.03415,4.06638,679353122
18-06-2009,4.07884,4.13886,4.06668,4.0752,506698563
19-06-2009,4.14061,4.18471,4.10585,4.18403,857343636
22-06-2009,4.21721,4.24551,4.08808,4.12028,753912511
23-06-2009,4.08905,4.10761,3.98523,4.01871,839554075
24-06-2009,4.06242,4.1244,4.04408,4.08483,576633236
25-06-2009,4.07295,4.20384,4.05565,4.19472,700430113
26-06-2009,4.1916,4.30551,4.1916,4.27175,522058745
29-06-2009,4.30209,4.31741,4.24492,4.25748,675709799
30-06-2009,4.27862,4.31277,4.25258,4.27155,516759368
01-07-2009,4.30423,4.33852,4.27379,4.2836,493010511
02-07-2009,4.23921,4.2836,4.19287,4.19926,440061604
06-07-2009,4.15918,4.1684,4.0858,4.15622,592784780
07-07-2009,4.1523,4.18991,4.05467,4.06144,548497118
08-07-2009,4.07619,4.13961,4.031,4.11567,684543635
09-07-2009,4.13323,4.13837,4.07648,4.08905,408272036
10-07-2009,4.09071,4.16782,4.08778,4.15349,528950390
13-07-2009,4.185,4.26856,4.12548,4.26856,574120804
14-07-2009,4.26034,4.29423,4.23452,4.26631,412860516
15-07-2009,4.3447,4.40886,4.32818,4.40499,575990159
16-07-2009,4.37514,4.4389,4.366,4.42426,467459883
17-07-2009,4.47346,4.55881,4.45852,4.55077,716056736
20-07-2009,4.59267,4.64955,4.52561,4.5866,871257601
21-07-2009,4.60122,4.60122,4.49106,4.54311,1015168296
22-07-2009,4.72391,4.76073,4.68198,4.70071,1040281830
23-07-2009,4.69416,4.75191,4.66487,4.73344,625735400
24-07-2009,4.70643,4.79845,4.69396,4.79845,522012547
27-07-2009,4.79845,4.82477,4.71655,4.80159,514669772
28-07-2009,4.76761,4.80159,4.72657,4.79845,432380031
29-07-2009,4.76566,4.81259,4.74582,4.79935,454892092
30-07-2009,4.84973,4.93939,4.84344,4.88231,557721672
31-07-2009,4.88815,4.94802,4.88506,4.9002,503127089
03-08-2009,4.95247,4.99724,4.9443,4.99134,468172943
04-08-2009,4.94902,4.96582,4.92555,4.96503,470544661
05-08-2009,4.9783,5.02101,4.92555,4.95139,503004481
06-08-2009,4.96503,4.99301,4.89065,4.91623,406498169
07-08-2009,4.94235,4.99596,4.94235,4.96393,460793797
10-08-2009,4.96051,4.99596,4.90855,4.93939,357316935
11-08-2009,4.90709,4.92976,4.85509,4.8831,422710912
12-08-2009,4.8729,4.99948,4.87194,4.95805,528622644
13-08-2009,4.99694,5.05782,4.99252,5.05026,523598524
14-08-2009,5.03368,5.04555,4.96473,5.00157,363975163
17-08-2009,4.90679,4.90679,4.78137,4.78587,622909849
18-08-2009,4.85121,4.92613,4.84098,4.91865,505747282
19-08-2009,4.88029,4.95756,4.87164,4.93633,490764503
20-08-2009,4.94459,4.99968,4.93652,4.98839,406739564
21-08-2009,5.03368,5.07995,5.00235,5.0755,494515832
24-08-2009,5.0987,5.1195,5.04654,5.07042,483807906
25-08-2009,5.08169,5.12677,5.07256,5.0806,385582891
26-08-2009,5.06676,5.08455,5.00077,5.02169,361175156
27-08-2009,5.0557,5.08535,4.94283,5.08237,533463482
28-08-2009,5.15998,5.17304,5.05342,5.09978,539964649
31-08-2009,5.04095,5.06364,4.99252,5.04505,370246734
01-09-2009,5.03879,5.0987,4.94627,4.95756,557766053
02-09-2009,4.93341,5.02787,4.9226,4.95334,433425345
03-09-2009,4.99321,5.01137,4.94802,4.99401,349874573
04-09-2009,5.01483,5.1193,5.01118,5.10727,444605739
08-09-2009,5.17109,5.1922,5.15871,5.18649,374074619
09-09-2009,5.1805,5.23286,5.08946,5.13366,965425559
10-09-2009,5.15939,5.19603,5.12266,5.17559,584059304
11-09-2009,5.18739,5.19366,5.12454,5.16292,414923741
14-09-2009,5.12415,5.21528,5.10567,5.20978,382899021
15-09-2009,5.21949,5.26783,5.20584,5.25348,494111571
16-09-2009,5.33834,5.48105,5.33481,5.45372,893971148
17-09-2009,5.45718,5.60155,5.45658,5.53524,963090034
18-09-2009,5.57554,5.59448,5.54086,5.54881,716034266
21-09-2009,5.53213,5.55354,5.44666,5.51876,520599553
22-09-2009,5.55156,5.55983,5.48398,5.53309,424679739
23-09-2009,5.55875,5.6652,5.54901,5.56343,704786176
24-09-2009,5.61598,5.62974,5.48184,5.51248,653797322
25-09-2009,5.46207,5.56343,5.44128,5.47004,529969766
28-09-2009,5.51278,5.59888,5.49841,5.58299,401505317
29-09-2009,5.59839,5.62022,5.5276,5.55983,410687804
30-09-2009,5.57954,5.59172,5.4777,5.55875,642080573
01-10-2009,5.56293,5.58544,5.41965,5.4244,623538532
02-10-2009,5.4396,5.57689,5.43911,5.54548,658181156
05-10-2009,5.58467,5.60353,5.52621,5.57906,503111126
06-10-2009,5.63053,5.69908,5.61677,5.69908,719107805
07-10-2009,5.69319,5.7151,5.66881,5.70545,553347993
08-10-2009,5.72276,5.74158,5.6646,5.67619,520768520
09-10-2009,5.6652,5.71939,5.65696,5.71242,348862200
12-10-2009,5.72735,5.74385,5.6876,5.72296,342945218
13-10-2009,5.71578,5.73345,5.68924,5.69938,411774496
14-10-2009,5.76418,5.76784,5.70495,5.73699,446963798
15-10-2009,5.68632,5.72589,5.68434,5.7151,444061355
16-10-2009,5.67549,5.70911,5.63365,5.64014,510059148
19-10-2009,5.63365,5.69858,5.56522,5.69388,1080150955
20-10-2009,6.01209,6.0502,5.93341,5.96139,1349012267
21-10-2009,5.98656,6.25997,5.97486,6.14626,1418646454
22-10-2009,6.13376,6.23385,6.07337,6.15431,941239808
23-10-2009,6.17,6.17199,6.09509,6.11638,500154758
26-10-2009,6.10982,6.20085,6.00126,6.07257,575266646
27-10-2009,6.04705,6.0828,5.89217,5.91898,900052802
28-10-2009,5.91878,5.93931,5.73131,5.77037,973061894
29-10-2009,5.84512,5.90278,5.76251,5.88882,678682486
30-10-2009,5.88344,5.90278,5.58022,5.6536,854016691
02-11-2009,5.69319,5.78463,5.56591,5.67778,807847009
03-11-2009,5.63838,5.68404,5.57621,5.66075,618183843
04-11-2009,5.71969,5.81427,5.70495,5.72296,580244345
05-11-2009,5.77864,5.84856,5.75288,5.81948,454756068
06-11-2009,5.78774,5.85406,5.77037,5.82833,347710242
09-11-2009,5.90658,6.0553,5.88617,6.04155,626587326
10-11-2009,6.03073,6.14792,6.02898,6.0877,476863599
11-11-2009,6.13673,6.14861,6.05313,6.09509,528508107
12-11-2009,6.09851,6.14448,6.04076,6.05786,426508615
13-11-2009,6.0874,6.14329,6.06002,6.13132,407205060
16-11-2009,6.16137,6.23759,6.14889,6.19712,573491907
17-11-2009,6.18003,6.22167,6.14861,6.20811,471484630
18-11-2009,6.18571,6.20811,6.11855,6.17639,444895967
19-11-2009,6.13356,6.13653,5.99196,6.01325,643387137
20-11-2009,5.94854,6.00982,5.93077,5.99539,484169769
23-11-2009,6.09163,6.17785,6.08701,6.17396,564264418
24-11-2009,6.15451,6.17396,6.08525,6.13103,377770992
25-11-2009,6.16314,6.16698,6.1108,6.12394,341116721
27-11-2009,5.97134,6.0872,5.94982,6.01601,351601338
30-11-2009,6.02652,6.04854,5.96139,5.99509,504769377
01-12-2009,6.06562,6.08133,5.90357,5.90718,550861491
02-12-2009,5.96955,6.04057,5.87056,5.885,849605015
03-12-2009,5.93421,5.96786,5.88637,5.89307,533112113
04-12-2009,5.98882,5.9947,5.70644,5.79737,984049267
07-12-2009,5.79737,5.81183,5.6588,5.66637,849204266
08-12-2009,5.66931,5.76862,5.6596,5.69447,820041481
